MD,INC,AZI,TVD,SSTVD,N/S,NORTHING,E/W,EASTING,VSEC,DLS
7250,66.03,102.55,6803.7,-1356.05,-379.22,13987386.74,956.67,1098863.75,1025.52,2.27
7275,65.66,102.97,6813.93,-1366.28,-384.26,13987381.7,978.91,1098886,1048.27,2.13
7300,66.58,103.11,6824.05,-1376.4,-389.42,13987376.54,1001.18,1098908.27,1071.08,3.72
7325,66.87,102.76,6833.93,-1386.28,-394.56,13987371.4,1023.57,1098930.65,1093.99,1.73
7350,66.65,102.48,6843.79,-1396.14,-399.58,13987366.38,1045.98,1098953.07,1116.9,1.35
7375,66.57,102.48,6853.72,-1406.07,-404.54,13987361.42,1068.39,1098975.47,1139.78,0.32
7400,66.12,102.77,6863.75,-1416.1,-409.54,13987356.42,1090.73,1098997.82,1162.62,2.09
7425,66.07,103.34,6873.88,-1426.23,-414.7,13987351.26,1113,1099020.08,1185.42,2.09
7450,65.57,103.89,6884.12,-1436.47,-420.07,13987345.89,1135.16,1099042.25,1208.19,2.83
7475,65.39,104.2,6894.5,-1446.85,-425.59,13987340.37,1157.23,1099064.31,1230.91,1.34
7500,65.17,103.95,6904.95,-1457.3,-431.12,13987334.85,1179.26,1099086.34,1253.59,1.26
7525,65.49,103.5,6915.38,-1467.73,-436.51,13987329.46,1201.32,1099108.41,1276.28,2.08
7550,65.7,103.44,6925.71,-1478.06,-441.81,13987324.15,1223.46,1099130.55,1299,0.87
7575,65.58,103.96,6936.03,-1488.38,-447.2,13987318.76,1245.59,1099152.68,1321.74,1.95
7600,65.87,104.18,6946.3,-1498.65,-452.74,13987313.22,1267.7,1099174.78,1344.51,1.41
7625,66.57,104.35,6956.38,-1508.73,-458.38,13987307.58,1289.87,1099196.95,1367.36,2.87
7650,67.21,104.31,6966.2,-1518.55,-464.07,13987301.89,1312.15,1099219.23,1390.33,2.56
7675,67.56,104.3,6975.81,-1528.16,-469.77,13987296.19,1334.51,1099241.6,1413.39,1.4
7700,69.65,104.16,6984.93,-1537.28,-475.49,13987290.47,1357.07,1099264.16,1436.64,8.38
7725,69.76,103.84,6993.6,-1545.95,-481.17,13987284.79,1379.82,1099286.91,1460.06,1.28
7750,70.67,103.53,7002.06,-1554.41,-486.73,13987279.23,1402.68,1099309.76,1483.54,3.82
7775,71.05,103.28,7010.26,-1562.61,-492.21,13987273.75,1425.65,1099332.74,1507.12,1.79
7800,69.78,103.19,7018.64,-1570.99,-497.6,13987268.36,1448.58,1099355.67,1530.63,5.09
7825,68.87,103.32,7027.47,-1579.82,-502.96,13987263,1471.35,1099378.43,1553.97,3.67
7850,67.82,103.5,7036.69,-1589.04,-508.35,13987257.61,1493.95,1099401.04,1577.16,4.25
7875,67.4,103.52,7046.21,-1598.56,-513.75,13987252.21,1516.42,1099423.51,1600.24,1.68
7900,66.47,103.33,7056.01,-1608.36,-519.09,13987246.87,1538.8,1099445.88,1623.2,3.79
7925,65.25,103.06,7066.23,-1618.58,-524.3,13987241.66,1561.01,1099468.09,1645.97,4.98
7950,64.87,102.95,7076.77,-1629.12,-529.4,13987236.56,1583.1,1099490.18,1668.58,1.57
