channel_GES,east,north,depth,latitude,longitude,elevation,utm_easting,utm_northing,utm_depth
235,585.6516,-203.7963,6597.2618,38.50349509499788,-112.8943289033399,-360.82049664000033,334819.6930499593,4263381.575894019,360.82049664000033
236,593.8604,-206.1728,6602.5442,38.50348903461711,-112.89430005286832,-362.43057216000034,334822.1950921995,4263380.85153682,362.43057216000034
237,602.1079,-208.5299,6607.7806,38.50348302967733,-112.89427106858872,-364.0266268800003,334824.7089301989,4263380.133092739,364.0266268800003
238,610.53,-210.7646,6612.7831,38.503477370635764,-112.89424148310968,-365.5513888800001,334827.27598627954,4263379.45195618,365.5513888800001
239,619.0497,-212.9258,6617.6592,38.503471918889815,-112.89421156193212,-367.0376241600002,334829.87279083894,4263378.793222419,367.0376241600002
240,627.6244,-215.0308,6622.4638,38.50346662453597,-112.89418145264517,-368.50206624000043,334832.4863593988,4263378.151618418,368.50206624000043
241,636.2763,-217.0571,6627.1676,38.50346155060024,-112.89415107930587,-369.93578448000017,334835.1234585195,4263377.534002178,369.93578448000017
242,644.9282,-219.0834,6631.8715,38.50345647665652,-112.89412070597054,-371.3695332000002,334837.7605576388,4263376.916385939,371.3695332000002
243,653.6735,-221.0313,6636.426,38.50345162322268,-112.89409001196222,-372.7577448000004,334840.4261250788,4263376.322666019,372.7577448000004
244,662.4259,-222.9731,6640.9691,38.50344678692888,-112.89405929359084,-374.1424816800004,334843.0938565993,4263375.730805379,374.1424816800004
245,671.2084,-224.9238,6645.4465,38.50344192789421,-112.89402846942122,-375.5071932000003,334845.7707625998,4263375.1362320185,375.5071932000003
246,680.0292,-226.8858,6649.8408,38.50343703999312,-112.89399751063205,-376.84657584000024,334848.45934243896,4263374.53821442,376.84657584000024
247,688.85,-228.8478,6654.2351,38.503432152083725,-112.89396655184673,-378.1859584800002,334851.1479222798,4263373.94019682,378.1859584800002
248,697.7743,-230.8672,6658.3878,38.503427112430195,-112.89393522733377,-379.4517014400003,334853.868048919,4263373.3246837,379.4517014400003
249,706.7036,-232.8895,6662.5288,38.503422065089126,-112.89390388514751,-380.7138782400002,334856.58969955926,4263372.708286661,380.7138782400002
250,715.6873,-234.9249,6666.5497,38.503416984849395,-112.89387235196318,-381.9394485600001,334859.32793131913,4263372.087896739,381.9394485600001
251,724.7332,-236.9753,6670.4334,38.503411866935444,-112.89384060039296,-383.12320032000025,334862.0851216394,4263371.462934819,383.12320032000025
252,733.7791,-239.0257,6674.3171,38.50340674901275,-112.89380884882691,-384.3069520800002,334864.84231195913,4263370.837972898,384.3069520800002
253,742.8565,-241.0722,6678.1103,38.503401643568544,-112.8937769874924,-385.46311944000036,334867.60910347966,4263370.214199699,385.46311944000036
254,751.9345,-243.1186,6681.9015,38.50339653842397,-112.893745124073,-386.6186772000001,334870.37607787934,4263369.590456978,386.6186772000001
255,761.0205,-245.161,6685.6809,38.50339144470426,-112.89371323299544,-387.7706383200002,334873.1454906793,4263368.967933459,387.7706383200002
256,770.1147,-247.1993,6689.448,38.503386362695274,-112.89368131356814,-388.91885040000034,334875.91740283946,4263368.346659619,388.91885040000034
257,779.2088,-249.2376,6693.2152,38.50338128067178,-112.89364939449436,-390.0670929600001,334878.68928451894,4263367.72538578,390.0670929600001
258,788.2949,-251.272,6696.9944,38.503376208894416,-112.89361750365516,-391.21899312000005,334881.45872779895,4263367.10530066,391.21899312000005
